OE,Produkt,Teilprodukt,"Aufwand/
Ertrag",ILV,Kostenartengruppe,2014,2015,2016,2017,Abweichung 2016-2015,Abweichung 2017-2016
,,,,,  3   Auflösungserträge aus Sonderposten,3.24,1.8,1.8,1.8, -      , -      
,,,,,  6   privatrechtliche Entgelte,238.65, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,2539.38, -      ,1518.48,233.28,1518.48,-1285.2
,,1.100.1.1.1.06.04  Interkulturelle Qualität,,,,-44963.79,-38787.84,-47688.48,-47893.32,-8900.64,-204.84
,,,Aufwand,,,-45747.13,-38789.64,-48446.04,-48011.88,-9656.4,434.16
,,,,nein,,-45747.13,-38789.64,-48446.04,-48011.88,-9656.4,434.16
,,,,,13   Aufwendungen für aktives Personal,-27770.47,-23165.4,-32452.68,-31826.28,-9287.28,626.4
,,,,,14   Aufwendungen für Versorgung,-3427.62,-1826.4,-2477.76,-2670.72,-651.36,-192.96
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-1467.56,-3048,-3048,-3048, -      , -      
,,,,,16   Abschreibungen,-388.17,-450,-150,-150,300, -      
,,,,,19   sonstige ordentliche Aufwendungen,-10535.75,-10299.84,-10317.6,-10316.88,-17.76,0.72
,,,,,24   außerordentliche Aufwendungen,-2157.56, -      , -      , -      , -      , -      
,,,Ertrag,,,783.34,1.8,757.56,118.56,755.76,-639
,,,,nein,,783.34,1.8,757.56,118.56,755.76,-639
,,,,,  3   Auflösungserträge aus Sonderposten,3.24,1.8,1.8,1.8, -      , -      
,,,,,  6   privatrechtliche Entgelte,4.15, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,775.95, -      ,755.76,116.76,755.76,-639
,,1.100.1.1.1.06.05  Vereinbarkeit Familie und Beruf,,,,-20770.76,-17081.68,-21909.08,-22086.2,-4827.4,-177.12
,,,Aufwand,,,-21289.84,-17082.28,-22203.92,-22132.16,-5121.64,71.76
,,,,nein,,-21289.84,-17082.28,-22203.92,-22132.16,-5121.64,71.76
,,,,,13   Aufwendungen für aktives Personal,-12459,-10280.04,-14578.56,-14434.08,-4298.52,144.48
,,,,,14   Aufwendungen für Versorgung,-1575.29,-700.44,-915.36,-988.32,-214.92,-72.96
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-2334.53,-2515.96,-3215.96,-3215.96,-700, -      
,,,,,16   Abschreibungen,-129.38,-150,-50.04,-50.04,99.96, -      
,,,,,19   sonstige ordentliche Aufwendungen,-3800.04,-3435.84,-3444,-3443.76,-8.16,0.24
,,,,,24   außerordentliche Aufwendungen,-991.6, -      , -      , -      , -      , -      
,,,Ertrag,,,519.08,0.6,294.84,45.96,294.24,-248.88
,,,,nein,,519.08,0.6,294.84,45.96,294.24,-248.88
,,,,,  3   Auflösungserträge aus Sonderposten,1.08,0.6,0.6,0.6, -      , -      
,,,,,  6   privatrechtliche Entgelte,161.38, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,356.62, -      ,294.24,45.36,294.24,-248.88
,,1.100.1.1.1.06.06  Personalcontrolling,,,,-57247.88,-72663.28,-105917.8,-109272.04,-33254.52,-3354.24
,,,Aufwand,,,-57966.01,-72664.48,-106507.6,-109363.84,-33843.12,-2856.24
,,,,nein,,-57966.01,-72664.48,-106507.6,-109363.84,-33843.12,-2856.24
,,,,,13   Aufwendungen für aktives Personal,-24917.98,-20560,-29157,-28868.04,-8597,288.96
,,,,,14   Aufwendungen für Versorgung,-3150.57,-1401,-1830.6,-1976.52,-429.6,-145.92
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-26.64,-5031.92,-30031.92,-33031.92,-25000,-3000
,,,,,16   Abschreibungen,-258.76,-300,-100.08,-100.08,199.92, -      
,,,,,19   sonstige ordentliche Aufwendungen,-27628.85,-45371.56,-45388,-45387.28,-16.44,0.72
,,,,,24   außerordentliche Aufwendungen,-1983.21, -      , -      , -      , -      , -      
,,,Ertrag,,,718.13,1.2,589.8,91.8,588.6,-498
,,,,nein,,718.13,1.2,589.8,91.8,588.6,-498
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,2.76, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,713.21, -      ,588.6,90.6,588.6,-498
,,1.100.1.1.1.06.08  Personalberatung/ Konfliktklärung,,,,-50190.2,-49315.36,-52674.64,-53634.36,-3359.28,-959.72
,,,Aufwand,,,-50255.37,-49315.96,-52842.4,-53660.88,-3526.44,-818.48
,,,,nein,,-50255.37,-49315.96,-52842.4,-53660.88,-3526.44,-818.48
,,,,,13   Aufwendungen für aktives Personal,-41676.23,-40758.88,-44147.08,-44918.4,-3388.2,-771.32
,,,,,14   Aufwendungen für Versorgung,-277,-425.52,-646.92,-694.08,-221.4,-47.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-13.32,-15.96,-15.96,-15.96, -      , -      
,,,,,16   Abschreibungen,-129.38,-150,-50.04,-50.04,99.96, -      
,,,,,19   sonstige ordentliche Aufwendungen,-7985.07,-7965.6,-7982.4,-7982.4,-16.8, -      
,,,,,24   außerordentliche Aufwendungen,-174.37, -      , -      , -      , -      , -      
,,,Ertrag,,,65.17,0.6,167.76,26.52,167.16,-141.24
,,,,nein,,65.17,0.6,167.76,26.52,167.16,-141.24
,,,,,  3   Auflösungserträge aus Sonderposten,1.08,0.6,0.6,0.6, -      , -      
,,,,,  6   privatrechtliche Entgelte,1.38, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,62.71, -      ,167.16,25.92,167.16,-141.24
,"1.100.1.1.1.07  Aus-, Fort- und Weiterbildung",,,,,-1184875.83,-1315234.6,-1387817.71,-1400113.68,-72583.11,-12295.97
,,1.100.1.1.1.07.01  Ausbildung,,,,-670857.45,-755532.2,-858664.56,-873825.32,-103132.36,-15160.76
,,,Aufwand,,,-696055.05,-775933.4,-884547.96,-895061.24,-108614.56,-10513.28
,,,,nein,,-696055.05,-775933.4,-884547.96,-895061.24,-108614.56,-10513.28
,,,,,13   Aufwendungen für aktives Personal,-569216.4,-647639.08,-741773.72,-754451.2,-94134.64,-12677.48
,,,,,14   Aufwendungen für Versorgung,-7913.01,-9120.48,-9446.76,-10278.6,-326.28,-831.84
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-67953.74,-80032.04,-94032.04,-91032.04,-14000,3000
,,,,,16   Abschreibungen,-258.78,-300,-99.96,-99.96,200.04, -      
,,,,,18   Transferaufwendungen,-31373.27,-31330.2,-31330.2,-31330.2, -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-12815.44,-7511.6,-7865.28,-7869.24,-353.68,-3.96
,,,,,24   außerordentliche Aufwendungen,-6524.41, -      , -      , -      , -      , -      
,,,Ertrag,,,25197.6,20401.2,25883.4,21235.92,5482.2,-4647.48
,,,,nein,,25197.6,20401.2,25883.4,21235.92,5482.2,-4647.48
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,855.38, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,10439.1,20400,20400,20400, -      , -      
,,,,,11   sonstige ordentliche Erträge,2346.41, -      ,5482.2,834.72,5482.2,-4647.48
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,11554.55, -      , -      , -      , -      , -      
,,1.100.1.1.1.07.02  Fortbildung extern,,,,-256128.05,-266829.72,-246265.88,-246764.4,20563.84,-498.52
,,,Aufwand,,,-260990.39,-266830.92,-251749.28,-247600.32,15081.64,4148.96
,,,,nein,,-260990.39,-266830.92,-251749.28,-247600.32,15081.64,4148.96
,,,,,13   Aufwendungen für aktives Personal,-57107.68,-59125.8,-53910.92,-48934.44,5214.88,4976.48
,,,,,14   Aufwendungen für Versorgung,-7913.01,-9120.48,-9446.76,-10278.6,-326.28,-831.84
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-150708.51,-160032.04,-150032.04,-150032.04,10000, -      
,,,,,16   Abschreibungen,-258.78,-300,-99.96,-99.96,200.04, -      
,,,,,18   Transferaufwendungen,-31373.27,-31330.2,-31330.2,-31330.2, -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-7104.73,-6922.4,-6929.4,-6925.08,-7,4.32
,,,,,24   außerordentliche Aufwendungen,-6524.41, -      , -      , -      , -      , -      
,,,Ertrag,,,4862.34,1.2,5483.4,835.92,5482.2,-4647.48
,,,,nein,,4862.34,1.2,5483.4,835.92,5482.2,-4647.48
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,2.77, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,2511, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,2346.41, -      ,5482.2,834.72,5482.2,-4647.48
,,1.100.1.1.1.07.03  Fortbildung intern,,,,-124479.69,-133433.88,-134013.36,-130150.48,-579.48,3862.88
,,,Aufwand,,,-127240.04,-133435.08,-134348.88,-130203.64,-913.8,4145.24
,,,,nein,,-127240.04,-133435.08,-134348.88,-130203.64,-913.8,4145.24
,,,,,13   Aufwendungen für aktives Personal,-57107.68,-59125.8,-53910.92,-48934.44,5214.88,4976.48
,,,,,14   Aufwendungen für Versorgung,-7913.01,-9120.48,-9446.76,-10278.6,-326.28,-831.84
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-50614.6,-58032.04,-64032.04,-64032.04,-6000, -      
,,,,,16   Abschreibungen,-258.78,-300,-99.96,-99.96,200.04, -      
,,,,,19   sonstige ordentliche Aufwendungen,-10997.23,-6856.76,-6859.2,-6858.6,-2.44,0.6
,,,,,24   außerordentliche Aufwendungen,-348.74, -      , -      , -      , -      , -      
,,,Ertrag,,,2760.35,1.2,335.52,53.16,334.32,-282.36
,,,,nein,,2760.35,1.2,335.52,53.16,334.32,-282.36
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,2.77, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,2630, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,125.42, -      ,334.32,51.96,334.32,-282.36
,,1.100.1.1.1.07.04  Weiterbildung,,,,-133410.64,-159438.8,-148873.91,-149373.48,10564.89,-499.57
,,,Aufwand,,,-135762.66,-159440,-154358.8,-150209.52,5081.2,4149.28
,,,,nein,,-135762.66,-159440,-154358.8,-150209.52,5081.2,4149.28
,,,,,13   Aufwendungen für aktives Personal,-57107.58,-59125.72,-53911.04,-48934.48,5214.68,4976.56
,,,,,14   Aufwendungen für Versorgung,-7912.92,-9120.36,-9446.76,-10278.48,-326.4,-831.72
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-25469.65,-52632.04,-52632.04,-52632.04, -      , -      
,,,,,16   Abschreibungen,-258.78,-300,-99.96,-99.96,200.04, -      
,,,,,18   Transferaufwendungen,-31382.69,-31339.6,-31339.6,-31339.6, -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-7104.77,-6922.28,-6929.4,-6924.96,-7.12,4.44
,,,,,24   außerordentliche Aufwendungen,-6526.27, -      , -      , -      , -      , -      
,,,Ertrag,,,2352.02,1.2,5484.89,836.04,5483.69,-4648.85
,,,,nein,,2352.02,1.2,5484.89,836.04,5483.69,-4648.85
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,2.77, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,2347.09, -      ,5483.69,834.84,5483.69,-4648.85
,1.100.1.1.1.08  Personalverwaltung,,,,,-1931858.91,-1842546.31,-1508189.94,-1665513.56,334356.37,-157323.62
,,1.100.1.1.1.08.01  Personalverwaltung Service,,,,-1068310,-1132274.75,-1197124.9,-1235900.91,-64850.15,-38776.01
,,,Aufwand,,,-1505762.7,-1581588.55,-1720648.81,-1703808.63,-139060.26,16840.18
,,,,nein,,-1505762.7,-1581588.55,-1720648.81,-1703808.63,-139060.26,16840.18
,,,,,13   Aufwendungen für aktives Personal,-1057097.54,-1142223.75,-1273094.28,-1241521.79,-130870.53,31572.49
,,,,,14   Aufwendungen für Versorgung,-104194.73,-159651.88,-164715.17,-179443.68,-5063.29,-14728.51
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-293,-367.84,-368.2,-368.2,-0.36, -      
,,,,,16   Abschreibungen,-2846.54,-3450,-1149.8,-1149.8,2300.2, -      
,,,,,19   sonstige ordentliche Aufwendungen,-275744.3,-275895.08,-281321.36,-281325.16,-5426.28,-3.8
,,,,,24   außerordentliche Aufwendungen,-65586.59, -      , -      , -      , -      , -      
,,,Ertrag,,,437452.7,449313.8,523523.91,467907.72,74210.11,-55616.19
,,,,nein,,437452.7,449313.8,523523.91,467907.72,74210.11,-55616.19
,,,,,  3   Auflösungserträge aus Sonderposten,24.15,13.8,14.44,14.44,0.64, -      
,,,,,  6   privatrechtliche Entgelte,30.4, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,413810.9,449300,448700,456500,-600,7800
,,,,,11   sonstige ordentliche Erträge,23587.25, -      ,74809.47,11393.28,74809.47,-63416.19
,,"1.100.1.1.1.08.02  Versorgung, Ruhelohn",,,,-219952.81,-224910.04,-176048.6,-179961.76,48861.44,-3913.16
,,,Aufwand,,,-246904.11,-245916.64,-218818.25,-211832.28,27098.39,6985.97
,,,,nein,,-246904.11,-245916.64,-218818.25,-211832.28,27098.39,6985.97
,,,,,13   Aufwendungen für aktives Personal,-110360.63,-116239.6,-130775.12,-121136.6,-14535.52,9638.52
,,,,,14   Aufwendungen für Versorgung,-55946,-66763.84,-30393.01,-33048.48,36370.83,-2655.47
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-9497.99,-4576.04,-176.04,-176.04,4400, -      
,,,,,16   Abschreibungen,-1423.28,-1650,-549.96,-549.96,1100.04, -      
,,,,,19   sonstige ordentliche Aufwendungen,-57614.49,-56687.16,-56924.12,-56921.2,-236.96,2.92
,,,,,24   außerordentliche Aufwendungen,-12061.72, -      , -      , -      , -      , -      
,,,Ertrag,,,26951.3,21006.6,42769.65,31870.52,21763.05,-10899.13
,,,,nein,,26951.3,21006.6,42769.65,31870.52,21763.05,-10899.13
,,,,,  3   Auflösungserträge aus Sonderposten,11.88,6.6,6.72,6.72,0.12, -      
,,,,,  6   privatrechtliche Entgelte,15.21, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,22586.38,21000,29900,29900,8900, -      
,,,,,11   sonstige ordentliche Erträge,4337.83, -      ,12862.93,1963.8,12862.93,-10899.13
,,1.100.1.1.1.08.03  Einsatzkräfte,,,,-643596.1,-485361.52,-135016.44,-249650.89,350345.08,-114634.45
,,,Aufwand,,,-1860594.06,-1845368.12,-1385313.36,-1389154.85,460054.76,-3841.49
,,,,nein,,-1860594.06,-1845368.12,-1385313.36,-1389154.85,460054.76,-3841.49
,,,,,13   Aufwendungen für aktives Personal,-1631079.2,-1653682.04,-1246562.32,-1241501.73,407119.72,5060.59
,,,,,14   Aufwendungen für Versorgung,-115527.17,-150612.96,-98860.4,-107752.08,51752.56,-8891.68
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-146.51,-176.04,-176.04,-176.04, -      , -      
,,,,,16   Abschreibungen,-1423.28,-1650,-549.96,-549.96,1100.04, -      
,,,,,19   sonstige ordentliche Aufwendungen,-39697.79,-39247.08,-39164.64,-39175.04,82.44,-10.4
,,,,,24   außerordentliche Aufwendungen,-72720.11, -      , -      , -      , -      , -      
,,,Ertrag,,,1216997.96,1360006.6,1250296.92,1139503.96,-109709.68,-110792.96
,,,,nein,,1216997.96,1360006.6,1250296.92,1139503.96,-109709.68,-110792.96
,,,,,  3   Auflösungserträge aus Sonderposten,11.88,6.6,6.72,6.72,0.12, -      
,,,,,  6   privatrechtliche Entgelte,15.21, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,1190818.07,1360000,1205000,1132600,-155000,-72400
,,,,,11   sonstige ordentliche Erträge,26152.8, -      ,45290.2,6897.24,45290.2,-38392.96
,1.100.1.1.1.09  Kantine,,,,,-37506.1, -      , -      , -      , -      , -      
,,1.100.1.1.1.09.01  Kantine,,,,-37506.1, -      , -      , -      , -      , -      
,,,Aufwand,,,-37636.45, -      , -      , -      , -      , -      
,,,,nein,,-37636.45, -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-29416.4, -      , -      , -      , -      , -      
,,,,,14   Aufwendungen für Versorgung,-554, -      , -      , -      , -      , -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-26.64, -      , -      , -      , -      , -      
,,,,,16   Abschreibungen,-258.78, -      , -      , -      , -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-7031.89, -      , -      , -      , -      , -      
,,,,,24   außerordentliche Aufwendungen,-348.74, -      , -      , -      , -      , -      
,,,Ertrag,,,130.35, -      , -      , -      , -      , -      
,,,,nein,,130.35, -      , -      , -      , -      , -      
,,,,,  3   Auflösungserträge aus Sonderposten,2.16, -      , -      , -      , -      , -      
,,,,,  6   privatrechtliche Entgelte,2.77, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,125.42, -      , -      , -      , -      , -      
,1.100.1.1.1.10  Personalvertretung,,,,,-512642.06,-526179.84,-585837.72,-589039.28,-59657.88,-3201.56
,,1.100.1.1.1.10.01  Personalvertretung,,,,-441800,-453431.4,-497601.28,-505992.16,-44169.88,-8390.88
,,,Aufwand,,,-446277.19,-453432.6,-506589.16,-507360.28,-53156.56,-771.12
,,,,nein,,-446277.19,-453432.6,-506589.16,-507360.28,-53156.56,-771.12
,,,,,13   Aufwendungen für aktives Personal,-358900.87,-369535.2,-417053.16,-420082.48,-47517.96,-3029.32
,,,,,14   Aufwendungen für Versorgung,-12934.16,-19589.4,-19562.64,-21300.72,26.76,-1738.08
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-5239.19,-5232.04,-3932.04,-3932.04,1300, -      
,,,,,16   Abschreibungen,-471.15,-600,-99.96,-99.96,500.04, -      
,,,,,19   sonstige ordentliche Aufwendungen,-60590.24,-58475.96,-65941.36,-61945.08,-7465.4,3996.28
,,,,,24   außerordentliche Aufwendungen,-8141.58, -      , -      , -      , -      , -      
,,,Ertrag,,,4477.19,1.2,8987.88,1368.12,8986.68,-7619.76
,,,,nein,,4477.19,1.2,8987.88,1368.12,8986.68,-7619.76
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,97.02, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,1450, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,2928.01, -      ,8986.68,1366.92,8986.68,-7619.76
,,1.100.1.1.1.10.02  Schwerbehindertenvertretung,,,,-52026.12,-54209.28,-57705.8,-58915.16,-3496.52,-1209.36
,,,Aufwand,,,-52156.47,-54210.48,-58041.32,-58968.32,-3830.84,-927
,,,,nein,,-52156.47,-54210.48,-58041.32,-58968.32,-3830.84,-927
,,,,,13   Aufwendungen für aktives Personal,-40469.37,-40446.08,-43318.4,-43451.32,-2872.32,-132.92
,,,,,14   Aufwendungen für Versorgung,-554,-851.04,-1293.96,-1388.28,-442.92,-94.32
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-1015.09,-32.04,-32.04,-32.04, -      , -      
,,,,,16   Abschreibungen,-258.78,-300,-99.96,-99.96,200.04, -      
,,,,,19   sonstige ordentliche Aufwendungen,-9510.49,-12581.32,-13296.96,-13996.72,-715.64,-699.76
,,,,,24   außerordentliche Aufwendungen,-348.74, -      , -      , -      , -      , -      
,,,Ertrag,,,130.35,1.2,335.52,53.16,334.32,-282.36
,,,,nein,,130.35,1.2,335.52,53.16,334.32,-282.36
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,2.77, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,125.42, -      ,334.32,51.96,334.32,-282.36
,,1.100.1.1.1.10.03  Jugend- und Auszubildenenvertretung,,,,-18815.94,-18539.16,-30530.64,-24131.96,-11991.48,6398.68
,,,Aufwand,,,-18946.29,-18540.36,-30866.16,-24185.12,-12325.8,6681.04
,,,,nein,,-18946.29,-18540.36,-30866.16,-24185.12,-12325.8,6681.04
,,,,,13   Aufwendungen für aktives Personal,-5704.9,-5210.52,-6591,-5916.24,-1380.48,674.76
,,,,,14   Aufwendungen für Versorgung,-554,-851.04,-1293.96,-1388.28,-442.92,-94.32
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-26.64,-32.04,-1532.04,-832.04,-1500,700
,,,,,16   Abschreibungen,-258.78,-300,-99.96,-99.96,200.04, -      
,,,,,19   sonstige ordentliche Aufwendungen,-12053.23,-12146.76,-21349.2,-15948.6,-9202.44,5400.6
,,,,,24   außerordentliche Aufwendungen,-348.74, -      , -      , -      , -      , -      
,,,Ertrag,,,130.35,1.2,335.52,53.16,334.32,-282.36
,,,,nein,,130.35,1.2,335.52,53.16,334.32,-282.36
,,,,,  3   Auflösungserträge aus Sonderposten,2.16,1.2,1.2,1.2, -      , -      
,,,,,  6   privatrechtliche Entgelte,2.77, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,125.42, -      ,334.32,51.96,334.32,-282.36
(13) Referat Medien und Öffentlichkeitsarbeit,,,,,,-664602.67,-663863.6,-666020.64,-670743.2,-2157.04,-4722.56
,1.100.1.1.1.16  Öffentlichkeitsarbeit,,,,,-664602.67,-663863.6,-666020.64,-670743.2,-2157.04,-4722.56
,,1.100.1.1.1.16.01  Kommunikation und Medien,,,,-664602.67,-663863.6,-666020.64,-670743.2,-2157.04,-4722.56
,,,Aufwand,,,-675896.96,-683863.6,-686020.64,-690743.2,-2157.04,-4722.56
,,,,nein,,-675896.96,-683863.6,-686020.64,-690743.2,-2157.04,-4722.56
,,,,,13   Aufwendungen für aktives Personal,-471345.28,-460290,-450309.56,-461705.08,9980.44,-11395.52
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-73589.77,-105700,-111700,-105700,-6000,6000
,,,,,16   Abschreibungen,-10755.27,-6250,-12252,-11574,-6002,678
,,,,,18   Transferaufwendungen,-39000,-39000,-39000,-39000, -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-81206.6,-72623.6,-72759.08,-72764.12,-135.48,-5.04
,,,,,24   außerordentliche Aufwendungen,-0.04, -      , -      , -      , -      , -      
,,,Ertrag,,,11294.29,20000,20000,20000, -      , -      
,,,,nein,,11294.29,20000,20000,20000, -      , -      
