OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist.
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;11   sonstige ordentliche Erträge;1348;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;13   Aufwendungen für aktives Personal;-125111;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;14   Aufwendungen für Versorgung;-23588;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.02 Verwaltungs- und Ratskoordination;1.100.1.1.1.02.03 pol./int. Gremienbetr., Ratskoordination;19   sonstige ordentliche Aufwendungen;-8385;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.01 CDU-Fraktion;26   Erträge aus int. Leistungsbeziehungen;159865;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.01 CDU-Fraktion;19   sonstige ordentliche Aufwendungen;-106900;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.01 CDU-Fraktion;11   sonstige ordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.01 CDU-Fraktion;13   Aufwendungen für aktives Personal;-38516;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.01 CDU-Fraktion;19   sonstige ordentliche Aufwendungen;-14448;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.02 SPD-Fraktion;26   Erträge aus int. Leistungsbeziehungen;173589;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.02 SPD-Fraktion;19   sonstige ordentliche Aufwendungen;-45700;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.02 SPD-Fraktion;13   Aufwendungen für aktives Personal;-86405;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.02 SPD-Fraktion;19   sonstige ordentliche Aufwendungen;-13993;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.03 F.D.P.-Fraktion;26   Erträge aus int. Leistungsbeziehungen;76158;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.03 F.D.P.-Fraktion;19   sonstige ordentliche Aufwendungen;-22300;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.03 F.D.P.-Fraktion;11   sonstige ordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.03 F.D.P.-Fraktion;13   Aufwendungen für aktives Personal;-46500;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.03 F.D.P.-Fraktion;19   sonstige ordentliche Aufwendungen;-7357;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.04 Fraktion Die Grünen;26   Erträge aus int. Leistungsbeziehungen;117018;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.04 Fraktion Die Grünen;19   sonstige ordentliche Aufwendungen;-34700;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.04 Fraktion Die Grünen;11   sonstige ordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.04 Fraktion Die Grünen;13   Aufwendungen für aktives Personal;-69230;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.04 Fraktion Die Grünen;19   sonstige ordentliche Aufwendungen;-13086;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.05 Gruppe UWG/Piraten;6   privatrechtliche Entgelte;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.05 Gruppe UWG/Piraten;26   Erträge aus int. Leistungsbeziehungen;70700;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.05 Gruppe UWG/Piraten;19   sonstige ordentliche Aufwendungen;-65700;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.05 Gruppe UWG/Piraten;19   sonstige ordentliche Aufwendungen;-5000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.06 Fraktion Die Linke;26   Erträge aus int. Leistungsbeziehungen;70000;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.06 Fraktion Die Linke;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.06 Fraktion Die Linke;19   sonstige ordentliche Aufwendungen;-65700;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.06 Fraktion Die Linke;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.06 Fraktion Die Linke;19   sonstige ordentliche Aufwendungen;-4300;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.07 Bund Osnabrücker Bürger (BOB)- Fraktion;19   sonstige ordentliche Aufwendungen;-9300;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.07 Bund Osnabrücker Bürger (BOB)- Fraktion;11   sonstige ordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.07 Bund Osnabrücker Bürger (BOB)- Fraktion;13   Aufwendungen für aktives Personal;-37550;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.03 Fraktionsgeschäftsstellen;1.100.1.1.1.03.07 Bund Osnabrücker Bürger (BOB)- Fraktion;19   sonstige ordentliche Aufwendungen;-4346;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;26   Erträge aus int. Leistungsbeziehungen;259490;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;15   Aufwendungen für Sach-/Dienstleistungen;-7000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;15   Aufwendungen für Sach-/Dienstleistungen;-13500;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;15   Aufwendungen für Sach-/Dienstleistungen;-6500;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;-1900;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;-500;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;-2000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;-1300;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;11   sonstige ordentliche Erträge;945;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;13   Aufwendungen für aktives Personal;-170740;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;14   Aufwendungen für Versorgung;-16544;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;19   sonstige ordentliche Aufwendungen;-1854;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.01 konzeptionelle Stadtentwicklung;16   Abschreibungen;-258;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;26   Erträge aus int. Leistungsbeziehungen;290290;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;26   Erträge aus int. Leistungsbeziehungen;0;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;15   Aufwendungen für Sach-/Dienstleistungen;-42500;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;19   sonstige ordentliche Aufwendungen;-60000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;19   sonstige ordentliche Aufwendungen;-700;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;11   sonstige ordentliche Erträge;945;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;13   Aufwendungen für aktives Personal;-170740;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;14   Aufwendungen für Versorgung;-16544;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;19   sonstige ordentliche Aufwendungen;-1854;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.02 Regionale Kooperationen;16   Abschreibungen;-258;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;26   Erträge aus int. Leistungsbeziehungen;102844;Ertrag;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;15   Aufwendungen für Sach-/Dienstleistungen;-10000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;11   sonstige ordentliche Erträge;473;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;13   Aufwendungen für aktives Personal;-85370;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;14   Aufwendungen für Versorgung;-8272;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;19   sonstige ordentliche Aufwendungen;-927;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.1.1.46 Strategische Stadtentwicklung;1.100.1.1.1.46.03 Lokale Agenda;16   Abschreibungen;-129;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;6   privatrechtliche Entgelte;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;15   Aufwendungen für Sach-/Dienstleistungen;-2000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;19   sonstige ordentliche Aufwendungen;-300;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;19   sonstige ordentliche Aufwendungen;-1000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;19   sonstige ordentliche Aufwendungen;-19000;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;27   Aufw. aus int. Leistungsbeziehungen;-24859;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;11   sonstige ordentliche Erträge;0;Ertrag;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;13   Aufwendungen für aktives Personal;-194175;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;14   Aufwendungen für Versorgung;0;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;19   sonstige ordentliche Aufwendungen;-2715;Aufwand;nein
(010) Ref.  Strategische Steuerung und Rat;1.100.1.2.1.04 Statistik;1.100.1.2.1.04.01 Statistik;16   Abschreibungen;0;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;26   Erträge aus int. Leistungsbeziehungen;274947;Ertrag;ja
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;19   sonstige ordentliche Aufwendungen;-5000;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;3   Auflösungserträge aus Sonderposten;421;Ertrag;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;11   sonstige ordentliche Erträge;4865;Ertrag;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;13   Aufwendungen für aktives Personal;-166479;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;14   Aufwendungen für Versorgung;-45352;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;15   Aufwendungen für Sach-/Dienstleistungen;-944;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;19   sonstige ordentliche Aufwendungen;-37389;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;16   Abschreibungen;-939;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.01 Handlungsrichtlinien z. Orga.u.Steuerung;27   Aufw. aus int. Leistungsbeziehungen;-3678;Aufwand;ja
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.02 Orga.Beratung der FB/ Ämter/ Referate;26   Erträge aus int. Leistungsbeziehungen;232126;Ertrag;ja
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.02 Orga.Beratung der FB/ Ämter/ Referate;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.02 Orga.Beratung der FB/ Ämter/ Referate;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.02 Orga.Beratung der FB/ Ämter/ Referate;3   Auflösungserträge aus Sonderposten;3;Ertrag;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.02 Orga.Beratung der FB/ Ämter/ Referate;11   sonstige ordentliche Erträge;178;Ertrag;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.02 Orga.Beratung der FB/ Ämter/ Referate;13   Aufwendungen für aktives Personal;-166479;Aufwand;nein
(10) FB  Personal und Organisation;1.100.1.1.1.04 Organisations- und Steuerungsberatung;1.100.1.1.1.04.02 Orga.Beratung der FB/ Ämter/ Referate;14   Aufwendungen für Versorgung;-45352;Aufwand;nein
